yyyymmdd,camid,deployment,image_label,monoday,toolday,comments,stillcam,deployed,camwork,onsite,island
20170325,Cebus-01-01,A,Cebus-01,0,0,,1,1,1,1,Jicaron
20170614,Cebus-01-01,A,Cebus-01,0,0,,1,1,1,1,Jicaron
20170724,Cebus-01-01,A,Cebus-01,0,0,,1,1,0,1,Jicaron
20170326,Cebus-02-01,A,Cebus-02-01,0,0,,0,1,1,1,Jicaron
20170724,Cebus-02-01,A,Cebus-02-01,0,0,,0,1,1,1,Jicaron
20170326,Cebus-02-02,A,Cebus-02-02,0,0,,1,1,1,1,Jicaron
20170724,Cebus-02-02,A,Cebus-02-02,0,0,,1,1,1,1,Jicaron
20170327,Cebus-03-01,A,Cebus-03-01A,0,0,,0,1,1,1,Jicaron
20170724,Cebus-03-01,A,Cebus-03-01A,0,0,,0,1,1,1,Jicaron
20170327,Cebus-03-02,A,Cebus-03-02B,0,0,,1,1,1,1,Jicaron
20170724,Cebus-03-02,A,Cebus-03-02B,0,0,,1,1,1,1,Jicaron
20170327,Cebus-04-01,A,Cebus-04-01,0,0,,1,1,1,1,Jicaron
20170606,Cebus-04-01,A,Cebus-04-01,0,0,,1,1,1,1,Jicaron
20170724,Cebus-04-01,A,Cebus-04-01,0,0,,1,1,1,0,Jicaron
20170325,Cebus-05-01,A,Hair-traps1,0,0,,1,1,1,1,Jicaron
20170724,Cebus-05-01,A,Hair-traps1,0,0,,1,1,1,1,Jicaron
20170327,Cebus-06-01,A,Hair-traps1,0,0,,0,1,1,1,Jicaron
20170719,Cebus-06-01,A,Hair-traps1,0,0,,0,1,1,1,Jicaron
20170724,Cebus-06-01,A,Hair-traps1,0,0,,0,1,0,1,Jicaron
20170328,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170329,Cebus-07-01,A,Cebus_06_01,1,1,,0,1,1,1,Jicaron
20170330,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170331,Cebus-07-01,A,Cebus_06_01,1,1,,0,1,1,1,Jicaron
20170401,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170402,Cebus-07-01,A,Cebus_06_01,1,0,,0,1,1,1,Jicaron
20170403,Cebus-07-01,A,Cebus_06_01,1,0,,0,1,1,1,Jicaron
20170404,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170405,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170406,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170407,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170408,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170409,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170410,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170411,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170412,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170413,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170414,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170415,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170416,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170417,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
20170418,Cebus-07-01,A,Cebus_06_01,0,0,,0,1,1,1,Jicaron
