yyyymmdd,camid,deployment,image_label,monoday,toolday,comments,stillcam,deployed,camwork,onsite,island
20180106,Cebus-03-04,C,Cebus-03-04C,0,0,,1,1,1,1,Jicaron
20180326,Cebus-03-04,C,Cebus-03-04C,0,0,,1,1,1,1,Jicaron
20180326,Cebus-03-04,C,Cebus-03-04C,0,0,,1,1,0,1,Jicaron
20180101,Cebus-07-01,C,Cebus-07-01C,0,0,,0,0,0,0,Jicaron
20180102,Cebus-07-01,C,Cebus-07-01C,0,0,,0,0,0,0,Jicaron
20180103,Cebus-07-01,C,Cebus-07-01C,0,0,,0,0,0,0,Jicaron
20180104,Cebus-07-01,C,Cebus-07-01C,0,0,,0,0,0,0,Jicaron
20180105,Cebus-07-01,C,Cebus-07-01C,0,0,deployed at 13:37,1,1,0,1,Jicaron
20180106,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180107,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180108,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180109,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180110,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180111,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180112,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180113,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180114,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180115,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180116,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180117,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180118,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180119,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180120,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180121,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180122,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180123,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180124,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180125,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180126,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180127,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180128,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180129,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180130,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180131,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180201,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180202,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180203,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180204,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180205,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180206,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180207,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180208,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180209,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180210,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180211,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180212,Cebus-07-01,C,Cebus-07-01C,1,1,,1,1,1,1,Jicaron
20180213,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180214,Cebus-07-01,C,Cebus-07-01C,1,0,messed upface male,1,1,1,1,Jicaron
20180215,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180216,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180217,Cebus-07-01,C,Cebus-07-01C,1,1,,1,1,1,1,Jicaron
20180218,Cebus-07-01,C,Cebus-07-01C,1,1,,1,1,1,1,Jicaron
20180219,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180220,Cebus-07-01,C,Cebus-07-01C,1,1,,1,1,1,1,Jicaron
20180221,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180222,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180223,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180224,Cebus-07-01,C,Cebus-07-01C,1,1,mono sees other wood anvil is available and goesto Cebus-07-02,1,1,1,1,Jicaron
20180225,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180226,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180227,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180228,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180301,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180302,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180303,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180304,Cebus-07-01,C,Cebus-07-01C,1,0,transport observed,1,1,1,1,Jicaron
20180305,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180306,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180307,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180308,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180309,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180310,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180311,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180312,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180313,Cebus-07-01,C,Cebus-07-01C,1,1,"good video, small rock, both hands",1,1,1,1,Jicaron
20180314,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180315,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180316,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180317,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180318,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180319,Cebus-07-01,C,Cebus-07-01C,1,0,transport observed,1,1,1,1,Jicaron
20180320,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180321,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180322,Cebus-07-01,C,Cebus-07-01C,0,0,,1,1,1,1,Jicaron
20180323,Cebus-07-01,C,Cebus-07-01C,1,0,transport observed,1,1,1,1,Jicaron
20180324,Cebus-07-01,C,Cebus-07-01C,1,0,,1,1,1,1,Jicaron
20180105,Cebus-07-02,C,Cebus-07-02C,0,0,deployed at 13:37,0,1,1,1,Jicaron
20180106,Cebus-07-02,C,Cebus-07-02C,1,1,,0,1,1,1,Jicaron
20180107,Cebus-07-02,C,Cebus-07-02C,1,1,,0,1,1,1,Jicaron
20180108,Cebus-07-02,C,Cebus-07-02C,1,1,,0,1,1,1,Jicaron
20180109,Cebus-07-02,C,Cebus-07-02C,1,1,,0,1,1,1,Jicaron
20180110,Cebus-07-02,C,Cebus-07-02C,1,1,,0,1,1,1,Jicaron
20180111,Cebus-07-02,C,Cebus-07-02C,1,0,,0,1,1,1,Jicaron
20180112,Cebus-07-02,C,Cebus-07-02C,1,0,,0,1,1,1,Jicaron
20180113,Cebus-07-02,C,Cebus-07-02C,1,1,,0,1,1,1,Jicaron
20180114,Cebus-07-02,C,Cebus-07-02C,1,0,,0,1,1,1,Jicaron
